freq,top_monitor,bottom_monitor
216087826546003.0,15.944649696350098,50.03817367553711
216289846748023.2,16.04673957824707,50.32542037963867
216491866950043.4,16.149805068969727,50.61404800415039
216693887152063.6,16.253828048706055,50.90400314331055
216895907354083.8,16.35885238647461,51.19539260864258
217097927556104.0,16.46483612060547,51.488101959228516
217299947758124.22,16.57179832458496,51.782135009765625
217501967960144.4,16.67978286743164,52.07771301269531
217703988162164.62,16.788740158081055,52.37464141845703
217906008364184.8,16.898700714111328,52.67303466796875
218108028566205.03,17.009675979614258,52.97296905517578
218310048768225.22,17.121658325195312,53.27436828613281
218512068970245.44,17.23464584350586,53.57731246948242
218714089172265.62,17.348665237426758,53.88187026977539
218916109374285.8,17.463674545288086,54.187965393066406
219118129576306.03,17.579715728759766,54.49565124511719
219320149778326.22,17.696813583374023,54.80506896972656
219522169980346.44,17.81491470336914,55.11611557006836
219724190182366.62,17.934057235717773,55.42880630493164
219926210384386.84,18.054275512695312,55.743316650390625
220128230586407.03,18.175508499145508,56.059505462646484
220330250788427.25,18.297813415527344,56.377498626708984
220532270990447.44,18.421215057373047,56.69731521606445
220734291192467.66,18.54567527770996,57.01887512207031
220936311394487.84,18.67121696472168,57.34228515625
221138331596508.06,18.797897338867188,57.66761016845703
221340351798528.25,18.92569923400879,57.99477767944336
221542372000548.47,19.05460548400879,58.32377243041992
221744392202568.66,19.18470001220703,58.65473175048828
221946412404588.84,19.315929412841797,58.98748779296875
222148432606609.06,19.448389053344727,59.32222366333008
222350452808629.25,19.582077026367188,59.658878326416016
222552473010649.47,19.71698570251465,59.99739456176758
222754493212669.66,19.85315704345703,60.33779525756836
222956513414689.88,19.99065399169922,60.68016052246094
223158533616710.06,20.12944984436035,61.02434539794922
223360553818730.28,20.26959800720215,61.370391845703125
223562574020750.47,20.411174774169922,61.71834182739258
223764594222770.7,20.554149627685547,62.06807327270508
223966614424790.88,20.69858741760254,62.41963577270508
224168634626811.1,20.844547271728516,62.77302169799805
224370654828831.28,20.992029190063477,63.12808609008789
224572675030851.5,21.141115188598633,63.48497772216797
224774695232871.7,21.291799545288086,63.843475341796875
224976715434891.88,21.44417381286621,64.20362854003906
225178735636912.1,21.59825897216797,64.56542205810547
225380755838932.28,21.75411033630371,64.92876434326172
225582776040952.5,21.91176414489746,65.29364776611328
225784796242972.7,22.07129669189453,65.6600112915039
225986816444992.9,22.232725143432617,66.02780151367188
226188836647013.1,22.396121978759766,66.39694213867188
226390856849033.3,22.56154441833496,66.7674789428711
226592877051053.5,22.729019165039062,67.13922882080078
226794897253073.72,22.89861297607422,67.51219940185547
226996917455093.9,23.07040023803711,67.88638305664062
227198937657114.12,23.24440574645996,68.26164245605469
227400957859134.3,23.420679092407227,68.63795471191406
227602978061154.5,23.59930992126465,69.0152816772461
227804998263174.72,23.78031349182129,69.39351654052734
228007018465194.9,23.963762283325195,69.77265930175781
228209038667215.12,24.14972496032715,70.15264129638672
228411058869235.3,24.338233947753906,70.53337097167969
228613079071255.53,24.52933120727539,70.9148178100586
228815099273275.72,24.72311019897461,71.29695129394531
229017119475295.94,24.919584274291992,71.6796646118164
229219139677316.12,25.118825912475586,72.06292724609375
229421159879336.34,25.320905685424805,72.44672393798828
229623180081356.53,25.525833129882812,72.8309555053711
229825200283376.75,25.733692169189453,73.21559143066406
230027220485396.94,25.94454002380371,73.60062408447266
230229240687417.16,26.15839195251465,73.98591613769531
230431260889437.34,26.37534523010254,74.37149810791016
230633281091457.56,26.59543228149414,74.75731658935547
230835301293477.75,26.818689346313477,75.1432876586914
231037321495497.94,27.04517364501953,75.52936553955078
231239341697518.16,27.274978637695312,75.91560363769531
231441361899538.34,27.508108139038086,76.30184936523438
231643382101558.56,27.744659423828125,76.6881332397461
231845402303578.75,27.9846248626709,77.07437133789062
232047422505598.97,28.228116989135742,77.46050262451172
232249442707619.16,28.475194931030273,77.8465576171875
232451462909639.38,28.725889205932617,78.232421875
232653483111659.56,28.980276107788086,78.61808013916016
232855503313679.78,29.23841667175293,79.00347137451172
233057523515699.97,29.50037956237793,79.38858795166016
233259543717720.2,29.76622772216797,79.7733154296875
233461563919740.38,30.036041259765625,80.15763092041016
233663584121760.56,30.309879302978516,80.54143524169922
233865604323780.78,30.58783721923828,80.92473602294922
234067624525800.97,30.86998748779297,81.30740356445312
234269644727821.2,31.156417846679688,81.68936920166016
234471664929841.38,31.447208404541016,82.070556640625
234673685131861.6,31.742450714111328,82.45086669921875
234875705333881.78,32.04227066040039,82.83021545410156
235077725535902.0,32.34673309326172,83.20851135253906
235279745737922.2,32.65595626831055,83.58558654785156
235481765939942.4,32.97006607055664,83.9614028930664
235683786141962.6,33.28916931152344,84.33574676513672
235885806343982.8,33.6133918762207,84.70849609375
236087826546003.0,33.942832946777344,85.07952880859375
