freq,top_monitor,bottom_monitor
216087826546003.0,16.585880279541016,20.776466369628906
216289846748023.2,16.785316467285156,20.77866554260254
216491866950043.4,16.98727798461914,20.779521942138672
216693887152063.6,17.191730499267578,20.77895736694336
216895907354083.8,17.398757934570312,20.7769832611084
217097927556104.0,17.608285903930664,20.77351951599121
217299947758124.22,17.820396423339844,20.76856231689453
217501967960144.4,18.035083770751953,20.762102127075195
217703988162164.62,18.252336502075195,20.754070281982422
217906008364184.8,18.472179412841797,20.744447708129883
218108028566205.03,18.694679260253906,20.733211517333984
218310048768225.22,18.91973304748535,20.720321655273438
218512068970245.44,19.147411346435547,20.705739974975586
218714089172265.62,19.377771377563477,20.68944549560547
218916109374285.8,19.61069679260254,20.671382904052734
219118129576306.03,19.846296310424805,20.651531219482422
219320149778326.22,20.08456039428711,20.629867553710938
219522169980346.44,20.32541275024414,20.60633659362793
219724190182366.62,20.568918228149414,20.580915451049805
219926210384386.84,20.81508445739746,20.55357551574707
220128230586407.03,21.063861846923828,20.52425193786621
220330250788427.25,21.31525993347168,20.49293327331543
220532270990447.44,21.569292068481445,20.459604263305664
220734291192467.66,21.825904846191406,20.4241943359375
220936311394487.84,22.085124969482422,20.386669158935547
221138331596508.06,22.346973419189453,20.34701919555664
221340351798528.25,22.61133575439453,20.305185317993164
221542372000548.47,22.878257751464844,20.261140823364258
221744392202568.66,23.147747039794922,20.214860916137695
221946412404588.84,23.4196834564209,20.166296005249023
222148432606609.06,23.694110870361328,20.115419387817383
222350452808629.25,23.97104835510254,20.06218910217285
222552473010649.47,24.250322341918945,20.0065975189209
222754493212669.66,24.532012939453125,19.948579788208008
222956513414689.88,24.81605339050293,19.888134002685547
223158533616710.06,25.102413177490234,19.825191497802734
223360553818730.28,25.391023635864258,19.759746551513672
223562574020750.47,25.681886672973633,19.6917667388916
223764594222770.7,25.974872589111328,19.62122917175293
223966614424790.88,26.269977569580078,19.548099517822266
224168634626811.1,26.56717300415039,19.472352981567383
224370654828831.28,26.866334915161133,19.393957138061523
224572675030851.5,27.167476654052734,19.312898635864258
224774695232871.7,27.470441818237305,19.229150772094727
224976715434891.88,27.775203704833984,19.142704010009766
225178735636912.1,28.081748962402344,19.053518295288086
225380755838932.28,28.389873504638672,18.961589813232422
225582776040952.5,28.69957733154297,18.866910934448242
225784796242972.7,29.01080894470215,18.769439697265625
225986816444992.9,29.323375701904297,18.669198989868164
226188836647013.1,29.637248992919922,18.566164016723633
226390856849033.3,29.952356338500977,18.4603271484375
226592877051053.5,30.268552780151367,18.3516788482666
226794897253073.72,30.585723876953125,18.240234375
226996917455093.9,30.903831481933594,18.125965118408203
227198937657114.12,31.22266960144043,18.0089111328125
227400957859134.3,31.54218101501465,17.88905906677246
227602978061154.5,31.862276077270508,17.766399383544922
227804998263174.72,32.182762145996094,17.640975952148438
228007018465194.9,32.50354766845703,17.512786865234375
228209038667215.12,32.824527740478516,17.381847381591797
228411058869235.3,33.145530700683594,17.248186111450195
228613079071255.53,33.46643829345703,17.11182403564453
228815099273275.72,33.787139892578125,16.972768783569336
229017119475295.94,34.1074333190918,16.831083297729492
229219139677316.12,34.427207946777344,16.686784744262695
229421159879336.34,34.74635314941406,16.53989601135254
229623180081356.53,35.064659118652344,16.39048194885254
229825200283376.75,35.38201141357422,16.238571166992188
230027220485396.94,35.698272705078125,16.084196090698242
230229240687417.16,36.01323699951172,15.927436828613281
230431260889437.34,36.3267707824707,15.76833438873291
230633281091457.56,36.638736724853516,15.606925010681152
230835301293477.75,36.94895553588867,15.443291664123535
231037321495497.94,37.257266998291016,15.27750015258789
231239341697518.16,37.563533782958984,15.109580993652344
231441361899538.34,37.8675537109375,14.939648628234863
231643382101558.56,38.16919708251953,14.767735481262207
231845402303578.75,38.46828079223633,14.593952178955078
232047422505598.97,38.764652252197266,14.41835880279541
232249442707619.16,39.05815124511719,14.241032600402832
232451462909639.38,39.34860610961914,14.0620756149292
232653483111659.56,39.6358642578125,13.881552696228027
232855503313679.78,39.91976547241211,13.699552536010742
233057523515699.97,40.200138092041016,13.516191482543945
233259543717720.2,40.476837158203125,13.331560134887695
233461563919740.38,40.74971389770508,13.145740509033203
233663584121760.56,41.01859664916992,12.95883560180664
233865604323780.78,41.2833366394043,12.770953178405762
234067624525800.97,41.54378890991211,12.582172393798828
234269644727821.2,41.79983139038086,12.392650604248047
234471664929841.38,42.05128860473633,12.202454566955566
234673685131861.6,42.29801940917969,12.011687278747559
234875705333881.78,42.53990936279297,11.820487022399902
235077725535902.0,42.776824951171875,11.628968238830566
235279745737922.2,43.00859832763672,11.43719482421875
235481765939942.4,43.23516082763672,11.245342254638672
235683786141962.6,43.45635986328125,11.053481101989746
235885806343982.8,43.672080993652344,10.861736297607422
236087826546003.0,43.88222885131836,10.67023754119873
